Value:	Frequency:
0	89
1	106
2	83
3	118
4	106
5	101
6	89
7	105
8	94
9	99
10	85
11	95
12	93
13	108
14	91
15	100
16	117
17	101
18	91
19	111
20	84
21	94
22	97
23	108
24	97
25	105
26	108
27	87
28	104
29	105
30	92
31	99
32	89
33	111
34	116
35	96
36	102
37	93
38	89
39	94
40	99
41	97
42	102
43	87
44	81
45	99
46	103
47	105
48	109
49	107
50	90
51	102
52	102
53	103
54	94
55	106
56	123
57	81
58	88
59	91
60	103
61	115
62	99
63	85
64	105
65	100
66	81
67	104
68	105
69	103
70	101
71	102
72	95
73	106
74	112
75	89
76	99
77	115
78	109
79	98
80	108
81	92
82	103
83	109
84	106
85	110
86	107
87	87
88	92
89	106
90	96
91	103
92	101
93	118
94	99
95	113
96	101
97	111
98	90
99	101
