Value:	Frequency:
0	1
1	0
2	1
3	1
4	1
5	0
6	1
7	1
8	0
9	3
10	0
11	0
12	2
13	0
14	1
15	3
16	2
17	3
18	0
19	0
20	0
21	2
22	2
23	0
24	0
25	1
26	1
27	0
28	1
29	1
30	1
31	2
32	1
33	0
34	1
35	1
36	1
37	2
38	1
39	1
40	0
41	0
42	0
43	1
44	2
45	0
46	0
47	2
48	1
49	0
50	2
51	0
52	1
53	0
54	0
55	2
56	1
57	1
58	2
59	3
60	0
61	3
62	2
63	3
64	0
65	1
66	2
67	0
68	1
69	0
70	2
71	0
72	1
73	3
74	2
75	1
76	0
77	1
78	1
79	0
80	0
81	1
82	0
83	1
84	2
85	1
86	1
87	1
88	0
89	0
90	2
91	1
92	3
93	1
94	2
95	1
96	0
97	1
98	1
99	1
