(6,-212,f)
(11,-82,c)
(9,-157,f)
(14,-8,c)
(17,58,f)
(20,-104,c)
(1,-96,f)
(9,-179,c)
(5,142,f)
(20,-222,c)
(13,22,f)
(5,18,c)
(22,-207,f)
(3,6,c)
(19,147,f)
(1,92,c)
(0,7,f)
(2,32,c)
(7,-187,f)
(5,60,c)
(7,-204,f)
(18,-35,c)
(18,35,f)
(13,126,c)
(21,197,f)
(10,81,c)
(13,136,f)
(18,16,c)
(8,-142,f)
(5,161,c)
(18,11,f)
(1,-212,c)
(1,-164,f)
(1,-204,c)
(11,161,f)
(9,51,c)
(7,163,f)
(1,64,c)
(1,-76,f)
(1,-40,c)
(10,98,f)
(12,166,c)
(15,118,f)
(16,40,c)
(16,-122,f)
(21,156,c)
(4,-159,f)
(19,-149,c)
(11,136,f)
(17,-85,c)
